title,company,location,duration,stipend,type,openings
Internshala Student Partner, Internshala ,Work From Home,3 Months,Performance Based,Internship,20000
Visual Content Development, Internshala ,Gurgaon,6 Months,20000 /month,Internship with job offer,4
Smart Village Ambassador (Open Positions - 10000), eArth Samvarta Foundation ,Work From Home,3 Months,Performance Based,Internship,10000
COVID-19 Crowdfunding (Autumn Volunteer), Hamari Pahchan NGO ,Work From Home,4 Weeks,1000 /month + Incentives,Internship,3000
Campus Ambassador, International Model United Nations ,Work From Home,5 Weeks,Performance Based,Internship,
Campus Ambassador, E-CELL IIT Roorkee ,Work From Home,6 Months,Performance Based,Internship,
Teaching Assistant (Full Stack Development), UpGrad ,Chandigarh,6 Months,25000-30000 /month,Internship,6
Business Development (Sales), UrbanClap ,Thiruvananthapuram,2 Months,7000-10000 /month,Internship,2
Teaching, Teach For India ,Work From Home,2 Months,Unpaid,Internship,6
Retail Operations, Decathlon Sports India Private Limited ,Jalandhar,1 Month,7000 /month,Internship with job offer,2
Campus Ambassador Management, Casio India Company Private Limited ,Work From Home,3 Months,10000 /month,Internship,3
Human Resources (HR), Outlook Magazine ,Work From Home,2 Months,1000 /month,Internship,2
Human Resources (HR), Yatra Online Private Limited ,Work From Home,3 Months,5000 /month,Internship,1
Business Development (Sales), EazyDiner ,Work From Home,3 Months,5000 /month,Internship,1
Marketing, BYJU'S The Learning App ,Kolkata,1 Month,15000 /month,Internship,2
Document Formatting/Editing, IIT Bombay ,Work From Home,6 Months,1000 /month + Incentives,Internship,3
Accounts & Administration, Ramesh Sippy Academy Of Cinema And Entertainment ,Mumbai,6 Months,6000-12000 /month,Internship,1
Technical Content Writing (For K-12), Toppr ,Work From Home,2 Months,10000 /month + Incentives,Internship,5
Brand Management, Nykaa ,Mumbai,3 Months,5000-10000 /month,Internship,3
Project Management, Edelweiss Financial Services ,Work From Home,3 Months,1000 /month,Internship,5
Graphic Design, Times Network ,Work From Home,3 Months,5000 /month,Internship,2
Business Development (Sales), UrbanClap ,Kochi,3 Months,10000 /month,Internship with job offer,1
Business Development (Sales), Freecharge Payments Technology Private Limited ,Gurgaon,3 Months,10000 /month,Internship,2
Ruby On Rails Development, IIT Bombay ,Work From Home,6 Months,3000-5000 /month,Internship,1
Operations, Edelweiss Financial Services ,Work From Home,3 Months,1000 /month,Internship,12
Fashion Design, Enamor ,Bangalore,2 Months,5000 /month,Internship,1
Campus Ambassador, Casio India Company Private Limited ,Work From Home,1 Month,Performance Based,Internship,
Marketing, Times Business Solutions ,Work From Home,2 Months,1000 /month,Internship,5
Business Development (Sales), Decathlon Sports India ,Gurgaon,3 Months,10000 /month,Internship,1
Data Analytics, UrbanClap ,Work From Home,2 Months,10000 /month,Internship,2
Business Development (Sales), Decathlon Sports India ,Gurgaon,6 Months,12000 /month,Internship,1
Human Resources (HR), Toppr Technologies Private Limited ,Work From Home,6 Months,12000 /month,Internship,5
Curriculum Design/Development (Grade 3 To 8), Teach For India ,Work From Home,2 Months,5000 /month,Internship,4
Digital Marketing, Policybazaar.com ,Delhi,3 Months,10000 /month,Internship,3
Marketing, BYJU'S The Learning App ,Chennai,3 Months,20000 /month,Internship,20
Business Development (Sales), UrbanClap ,Work From Home,2 Months,8000 /month,Internship,3
Business Development (Sales), Aditya Birla Capital ,Kolkata,3 Months,2000 /month,Internship with job offer,10
Chartered Accountancy (CA-Industrial Trainee), Religare Health Insurance Company Limited ,Gurgaon,6 Months,12500 /month,Internship,5
Campus Ambassador," Celesta, IIT Patna ",Patna,6 Weeks,Performance Based,Internship,
Flutter Development, IIT Bombay ,Work From Home,6 Months,3000-5000 /month,Internship,1
React.js Development, IIT Bombay ,Work From Home,6 Months,3000-5000 /month,Internship,1
Finance & Marketing, IIFL Securities Limited ,Work From Home,2 Months,1000 /month,Internship,20
Product Management, Hungama Digital Media Entertainment Private Limited ,Work From Home,3 Months,5000 /month,Internship,6
Content Writing, FabHotels ,Gurgaon,2 Months,5000 /month,Internship,2
Retail Marketing, Decathlon Sports India ,Secunderabad,3 Months,6000 /month,Internship,5
Business Development (Sales), Quora ,Work From Home,3 Months,22500 /month,Internship,1
Financial Management, IIFL Securities Limited ,Work From Home,2 Months,1000 /month,Internship,20
Purchase Assistance, Hyatt Regency ,Thrissur,3 Months,2000 /month,Internship,1
Company Secretary (CS), Balaji Telefilms Limited ,Mumbai,24 Months,7500 /month,Internship,1
Marketing, BYJU'S The Learning App ,Madurai,3 Months,15000 /month,Internship,10
Operations (Procurement), Bayer Group India ,Mumbai,3 Months,10000 /month,Internship,1
Hardware Algorithms Development, Titan Company Limited ,Hyderabad,6 Months,15000 /month,Internship,2
Company Secretary, Fractal Analytics ,Mumbai,6 Months,15000 /month,Internship,2
Human Resources (HR), HCL Technologies ,Nagpur,3 Months,3500 /month,Internship,10
Social Media Marketing, Times Internet Limited ,Mumbai,6 Months,5000 /month,Internship,2
Business Development (Sales), Dunzo ,Jaipur,3 Months,5000 /month,Internship,2
Business Development (Sales), Dunzo ,Gurgaon,3 Months,8000-10000 /month,Internship,2
Information Technology, Ramesh Sippy Academy Of Cinema And Entertainment ,Mumbai,6 Months,10000-12000 /month,Internship,1
Business Development (Sales), Entertainment Network India Limited (Times Group) ,Madurai,2 Months,6000 /month,Internship,2
Market Research, Federation of India Chambers of Commerce and Industries ,Work From Home,5 Months,Unpaid,Internship,2
Social Media Marketing, Lokmat Media Private Limited ,Mumbai,6 Months,5000-10000 /month,Internship,2
Graphic Design, House Of Anita Dongre ,Work From Home,2 Months,4000 /month,Internship,1
Marketing, Ramesh Sippy Academy Of Cinema And Entertainment ,Mumbai,6 Months,10000-12000 /month,Internship,1
Coherence Mapping (Educational Psychology), Teach For India ,Work From Home,1 Month,2000 lump sum,Internship,1
